date,attributedSalesSameSku1d,campaignBiddingStrategy,unitsSoldClicks1d,attributedSalesSameSku7d,topOfSearchImpressionShare,attributedSalesSameSku14d,royaltyQualifiedBorrows,sales1d,sales7d,addToList,campaignRuleBasedBudgetAmount,attributedSalesSameSku30d,kindleEditionNormalizedPagesRoyalties14d,purchasesSameSku14d,spend,purchasesSameSku1d,campaignBudgetType,unitsSoldSameSku1d,campaignStatus,purchases1d,purchasesSameSku7d,unitsSoldSameSku7d,campaignBudgetAmount,purchases7d,unitsSoldSameSku30d,cost,costPerClick,unitsSoldClicks14d,campaignId,sales14d,clickThroughRate,sales30d,impressions,kindleEditionNormalizedPagesRead14d,campaignApplicableBudgetRuleName,purchasesSameSku30d,purchases14d,unitsSoldClicks30d,qualifiedBorrows,campaignBudgetCurrencyCode,purchases30d,campaignApplicableBudgetRuleId,clicks,campaignName,unitsSoldSameSku14d,unitsSoldClicks7d
2026-03-26,0.0,optimizeForSales,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,40.0,0,0,0.0,0.0,0,125877011920608,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_11_01_26_xiaomi 11t/11t pro_UA_Auto_Kate_0314,0,0
2026-03-17,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,150.0,0,0,0.0,0.0,0,112135063255280,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_31_04_00_Galaxy A50_20190614_jesung,0,0
2026-03-27,16.8,optimizeForSales,1,16.8,0.49,16.8,0,16.8,16.8,0,,16.8,0,1,4.05,1,DAILY_BUDGET,1,ENABLED,1,1,1,30.0,1,1,4.05,1.35,1,531342943584076,16.8,3.296703296703297,16.8,91,0,,1,1,1,0,EUR,1,,3,12_15_04_09_DE_Pixel 10a EZ Fit Pro_Product Target SPN_260218_yeseo,1,1
2026-03-13,0.0,optimizeForSales,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ARCHIVED,0,0,0,30.0,0,0,0.0,0.0,0,428475306777393,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_13_26_18_Nintendo Switch 2_Snap Switch_B0DP3JF93C_chaeeun_260113,0,0
2026-03-03,0.0,optimizeForSales,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,277255173210651,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_SP_auto_C2000_yhjung_0914,0,0
2026-03-14,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,261637418377525,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_SP_F316W_wireless charger_exact_jsmun_0706,0,0
2026-03-04,15.96,optimizeForSales,7,31.92,1.39,31.92,0,111.72,160.44,0,,31.92,0,2,9.55,1,DAILY_BUDGET,1,ENABLED,7,2,2,30.0,10,2,9.55,0.73,10,460391315118814,160.44,2.5742574257425743,160.44,505,0,,2,10,10,0,EUR,10,,13,12_15_04_03_DE_iPhone 17/17 Pro EZ Fit _Product Target SPN_250909_yeseo,2,10
2026-03-14,0.0,optimizeForSales,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,30.0,0,0,0.0,0.0,0,485184874099455,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_12_25_35_TO220H_SP_subin_0220,0,0
2026-03-19,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,150.0,0,0,0.0,0.0,0,163934682564420,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_12_01_00_iPhoneX_UHBK_Jinny_0211,0,0
2026-03-13,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,256428530134843,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_20_06_01_SP_F309W_iphone ladestation_exact_jsmun_0525,0,0
2026-03-22,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,242389414239871,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_12_00_SP_F25QC_auto ladegerät_exact_jsmun_0615,0,0
