item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,merchant-shipping-group,status,Minimum order quantity,Sell remainder
"Spigen Thin Fit Kompatibel mit MacBook Air A2337 M1, A2179, A1932 Retina 13 Zoll (2020/2019/2018) Hulle - Rose Gold","Entworfen und uberzogen mit einem stabilen Strukturstrick, der Ihrem Macbook Air Eleganz und Modernitat verleiht. Die leichte und langlebige Verarbeitung von Thin Fit beugt Kratzern und Sorgen vor und bietet zusatzlichen Schutz fur den taglichen Gebrauch.",0603X62Z6PO,071CS25964PAN,37.99,,03/06/2020 02:35:35 MEST,,y,4,,,11.0,,,,B07V7HXTKR,,,,,,8809640253706,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Ultra Hybrid Pro Hülle Kompatibel mit Samsung Galaxy Z Flip 6 und Z Flip 7 FE -Crystal Clear,"Entwickelt für das Rund-um Schutz des Handys, sodass alle Anschlüsse und Buttons bestens zu erreichen sind; Die Air Cushion Technologie ist in den meisten Hüllen integriert speziell für den Eckschutz; Der erhöhte Rand rund um das Display und Kamera schützt diese vor Kratzer und Brüchen",0710B34ZHLE,ACS07834PAN,41.99,,10/07/2024 03:37:52 MEST,,y,4,,,11.0,,,,B0CXTX3JPK,,,,,,8809971227858,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
"Spigen Google Pixel XL Hülle, [Rugged Armor] Variation Parent",,0922Q9GZ3I8,F15CS20903V,,0.0,22/09/2016 16:41:42 MEST,,y,1,,,11.0,,,,B01LZK9VOY,,,,,,B01LZK9VOY,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
Spigen iPad 10.2 Hülle Smart Fold Variation Parent,,1001V0A5NPY,ACS00373V,,0.0,02/10/2019 00:15:27 MEST,,y,1,,,11.0,,,,B07YMS53WN,,,,,,B07YMS53WN,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
Spigen Smart Fold iPad 9.7 Variation Parent,,0515UC6UEBF,053CS21983V,11.99,0.0,15/05/2018 09:39:25 MEST,,y,1,,,11.0,,,,B07D34LNZH,,,,,,B07D34LNZH,,,0.0,DEFAULT,Standardvorlage Amazon,Inactive,,
Spigen Slim Armor CS Hülle Kompatibel mit iPhone 8 Plus und Kompatibel mit iPhone 7 Plus,,1125XAMH50M,043CS20526V,,,25/11/2020 10:17:24 MET,,y,1,,,11.0,,,,B01NCSQP20,,,,,,B01NCSQP20,,,,AMAZON_EU,Standardvorlage Amazon,Incomplete,,
Spigen Thin Fit Hülle Kompatibel mit Apple Watch Serie 9/8/7 41mm - Kristallklar,"Der Thin Fit für die Apple Watch ist für den ultimativen Minimalisten gemacht. Das schlichte Design und die glatte Oberfläche bewahren das klassische Erscheinungsbild der Uhr. Ein starres Äußeres schützt täglich vor Stößen und Dellen, um unerwünschte Kratzer zu vermeiden. Und mit seinem hauchdünnen Rahmen und den präzisen Ausschnitten werden Sie wahrscheinlich vergessen, dass Sie sogar einen Koffer dabei haben. Hüllen Sie Ihre Apple Watch in die schlanke und schlanke Passform.",1203YULDHDK,ACS04187PAN,13.99,,03/12/2021 09:07:35 MET,,y,4,,,11.0,,,,B09L3ZVC8G,,,,,,8809811857726,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
"Spigen Glas.tR Slim Schutzfolie kompatibel mit Samsung Galaxy A34 5G, 2 Stück, Kratzfest, 9H Härte Folie",,0630AHZRNLL,amzn.gr.AGL05967PAN-Sjd67AKdWi756bc_e-LN,14.39,,30/06/2023 10:01:02 MEST,,y,1,,Der Artikel wird in der Originalverpackung zugestellt.,1.0,,,,B0BWJ5GHZC,,,,,,B0BWJ5GHZC,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Style Ring Handy Ring Phone Griff/Ständer/Halter für alle Handys und Tablets - Gold,"Schnappen Sie sich Ihr Smartphone mit dem Style Ring von Spigen. Tragen Sie es einfach am Finger, nachdem Sie es an Ihrem Telefon oder Etui befestigt haben, um die Gefahr des Herunterfallens Ihres Telefons zu verringern. Seine vielseitigen Eigenschaften dienen auch als Ständer für bequemes Ein- und Aussteigen.",0408Q1Z22KE,000EP20244DEP,18.99,,08/04/2016 14:24:15 MEST,,y,4,,,11.0,,,,B01CKFNKCW,,,,,,8809466643972,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
"Spigen Glas.tR Slim Schutzfolie kompatibel mit Tesla Model 3(2026-2024), Model Y(2026/2025) Für Hinten Display, 8 Zoll, Blendschutz, Anti-Fingerabdruck, 9H Härte Folie",,0124BNQUEXN,AGL07586PAN,26.99,,24/01/2024 04:26:59 MET,,y,4,,,11.0,,,,B0CS1DQPR9,,,,,,8809971225175,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
